lat,lon,time,alt,speed,bearing
59.4666909,25.1294811,739000,44.7,10.31,328.80
59.4670324,25.129127,744000,44.7,10.69,333.20
59.4671944,25.128931,746000,44.7,10.58,328.40
59.4673474,25.128745,748000,44.8,10.03,328.30
59.4675125,25.1285777,750000,45,10.33,332.80
59.4676784,25.1283761,752000,45.1,10.86,328.30
59.4678444,25.1281665,754000,45.7,11.00,327.30
59.4679935,25.1279794,756000,46.6,9.86,327.50
59.468153,25.1278104,758000,46.4,10.08,331.70
59.4682737,25.1275652,760000,44.8,9.67,314.10
59.468398,25.1272941,762000,44.8,10.33,312.10
59.4685804,25.1271461,764000,44.5,11.00,337.60
59.4687737,25.1270596,766000,44.2,11.06,347.20
59.4689621,25.1269601,768000,43,10.86,345.00
59.4691663,25.1268771,770000,41.2,11.61,348.30
59.4693767,25.1268646,772000,40,11.72,358.30
59.4697893,25.1267746,775000,38.1,11.44,349.50
59.4699988,25.1267502,777000,38.1,11.69,356.60
59.4702173,25.126748,779000,37.2,12.17,359.70
59.4704293,25.1267265,781000,35.3,11.83,357.10
59.4706452,25.1267161,783000,34.9,12.03,358.60
59.4708495,25.1268447,785000,35.6,11.94,17.70
59.4710491,25.1270316,787000,34.9,12.31,25.40
59.471278,25.1271203,789000,33.9,13.00,11.10
59.4715093,25.127131,791000,35.5,12.89,1.30
59.471707,25.1271862,793000,35.8,11.11,8.10
59.4719201,25.1273192,795000,34.8,12.44,17.60
59.4721301,25.1274973,797000,33.7,12.75,23.30
59.4723441,25.1276655,799000,33.7,12.83,21.80
59.4725584,25.127718,801000,34.6,12.03,7.10
59.4727658,25.1279098,803000,34.4,12.78,25.20
59.4729534,25.1282569,805000,35,14.36,43.20
59.4730962,25.128642,807000,34.7,13.50,53.90
59.4731894,25.1290599,809000,30.3,12.94,66.30
59.4732951,25.1295212,811000,25.5,14.33,65.70
59.4734511,25.1299226,813000,22.3,14.31,52.60
59.4736531,25.1302107,815000,22,13.89,35.90
59.4738555,25.1303565,817000,20.7,12.00,20.10
59.4740657,25.130495,819000,20.6,12.36,18.50
59.4742466,25.1308159,821000,19.5,13.58,42.00
59.474409,25.1311636,823000,19.7,13.39,47.40
59.4746043,25.1314122,825000,18.5,12.97,32.90
59.474798,25.1316887,827000,18.2,13.33,35.90
59.4749978,25.1319414,829000,18.9,13.22,32.70
59.4752006,25.1321243,831000,20.1,12.42,24.60
59.4753453,25.1325197,833000,19,13.81,54.20
59.4754182,25.1330312,835000,19.4,15.06,74.30
59.4754974,25.1335247,837000,20,14.67,72.50
59.4755028,25.1340999,839000,17.7,16.31,88.90
59.4754527,25.1347075,841000,18.6,17.44,99.20
59.4754789,25.1352892,843000,18.9,16.56,84.90
59.4756031,25.135833,845000,19.6,16.89,65.80
59.4757274,25.1363519,847000,22.3,16.25,64.70
59.4758546,25.1368148,849000,22.6,14.92,61.60
59.4760057,25.1372566,851000,23.7,15.08,56.00
59.4760872,25.1377395,853000,24.6,14.42,71.60
59.476211,25.1381876,855000,22.5,14.44,61.50
59.4763344,25.1386588,857000,19.7,15.03,62.70
59.4764181,25.1391782,859000,18.8,15.44,72.40
59.4765556,25.1395865,861000,17.5,13.89,56.50
59.476663,25.1400961,863000,15,15.64,67.50
59.4767537,25.1406259,865000,13.7,15.83,71.40
59.4769715,25.1415231,870000,9,14.00,71.60
59.4769914,25.1421139,872000,6.9,16.78,86.20
59.4769912,25.1427189,874000,6.1,17.14,90.00
59.4769898,25.1433025,876000,4.5,16.53,90.30
59.4770198,25.1438807,878000,3.8,16.47,84.20
59.4770696,25.1444378,880000,3.7,16.03,80.00
59.4771324,25.1449646,882000,3.1,15.33,76.80
59.4772122,25.1454592,884000,2.8,14.69,72.40
59.477285,25.1459835,886000,2.9,15.39,74.70
59.4773676,25.1464764,888000,2.9,14.69,71.70
59.4774752,25.146942,890000,3,14.50,65.50
59.477642,25.1473672,892000,3.1,15.22,52.30
59.4778016,25.1477084,894000,3.8,13.14,47.40
59.4779555,25.1480009,896000,3.4,11.92,44.00
59.478129,25.1483414,898000,1.4,13.67,44.90
59.4783219,25.1487034,900000,1,14.86,43.60
59.4785093,25.1490157,902000,0.9,13.69,40.20
59.4786943,25.1493245,904000,0.2,13.53,40.30
59.4788989,25.1496036,906000,-0.4,13.86,34.70
59.4791068,25.1498101,908000,-0.1,12.97,26.80
59.4793052,25.1500115,910000,0.2,12.44,27.30
59.4795011,25.1501877,912000,0.8,12.00,24.50
59.4797124,25.1503371,914000,0.6,12.50,19.80
59.4799287,25.1504459,916000,1.1,12.44,14.30
59.4801485,25.1505838,918000,2.3,12.86,17.70
59.4803478,25.1506656,920000,2.9,11.33,11.80
59.4805454,25.1507654,922000,2.7,11.36,14.40
59.4809599,25.150885,925000,2.6,11.53,6.20
59.4811645,25.1509438,927000,2.6,11.53,8.30
59.4813665,25.150973,929000,2.1,11.28,4.20
59.4815548,25.1510945,931000,0.7,11.03,18.10
59.4817306,25.1514015,933000,-2,13.11,41.60
59.4819049,25.1517919,935000,-3.1,14.72,48.70
59.4820997,25.1521507,937000,-4,14.86,43.10
59.482334,25.1523375,939000,-3.7,14.08,22.00
59.4825606,25.1524539,941000,-1.2,13.06,14.60
59.4827557,25.1527207,943000,-0.8,13.25,34.80
59.4829431,25.153137,945000,0.1,15.75,48.40
59.4830792,25.153603,947000,1.8,15.22,60.10
59.4832016,25.1540492,949000,4.2,14.36,61.60
59.4833015,25.1545388,951000,4.6,14.94,68.10
59.4834121,25.1550594,953000,3.7,15.97,67.30
59.4835571,25.1555728,955000,3.2,16.64,60.90
59.4837294,25.1559559,957000,3.8,14.50,48.50
59.4838898,25.1563066,959000,1.9,13.36,48.00
59.4840769,25.1566368,961000,-0.6,14.00,41.90
59.4842697,25.1569728,963000,0.7,14.36,41.50
59.4844354,25.1573733,965000,0.9,14.64,50.80
59.4845834,25.1578331,967000,1.1,15.42,57.60
59.4847516,25.1582834,969000,2.9,15.83,53.70
59.484946,25.158625,971000,5,14.53,41.70
59.4851182,25.1589366,973000,6.3,13.03,42.60
59.4852659,25.1593256,975000,4.5,13.75,53.20
59.485408,25.1597984,977000,1.8,15.56,59.40
59.4855813,25.1602077,979000,1.8,15.08,50.20
59.4857839,25.1604152,981000,0.7,12.72,27.50
59.4859982,25.1605575,983000,1.1,12.61,18.60
59.4861838,25.160882,985000,0.7,13.83,41.60
59.4863226,25.1613245,987000,1.4,14.72,58.30
59.4864626,25.1617793,989000,1.3,15.06,58.80
59.4866171,25.1622047,991000,-0.6,14.81,54.40
59.4869524,25.163056,996000,-0.9,15.17,53.30
59.4871138,25.1634593,998000,0.2,14.53,51.80
59.487297,25.1638742,1000000,0.9,15.56,49.00
59.4874424,25.1643406,1002000,2.3,15.50,58.40
59.4875947,25.1647656,1004000,3.7,14.72,54.80
59.4877695,25.1651269,1006000,4.7,14.14,46.40
59.4879299,25.1654974,1008000,5.2,13.78,49.50
59.4880802,25.1658878,1010000,5.8,13.86,52.80
59.4882411,25.166241,1012000,3.6,13.44,48.10
59.4884114,25.1666225,1014000,2.5,14.39,48.70
59.4885731,25.1670162,1016000,3.1,14.33,51.00
59.4887272,25.1673814,1018000,3.5,13.44,50.30
59.4888919,25.1677198,1020000,3.2,13.28,46.20
59.4890788,25.168055,1022000,3.8,14.08,42.30
59.4892462,25.1683902,1024000,6.3,13.31,45.50
59.4893965,25.1687394,1026000,6.3,12.97,49.70
59.4895549,25.169054,1028000,4.8,12.53,45.20
59.4897428,25.1693148,1030000,4.2,12.81,35.20
59.4899336,25.1694876,1032000,5,11.69,24.70
59.4901103,25.1697301,1034000,5,12.00,34.90
59.490268,25.170099,1036000,3.4,13.64,49.90
59.4904201,25.1705022,1038000,3.3,14.22,53.40
59.4906043,25.1707691,1040000,2.7,12.75,36.30
59.4908106,25.1708714,1042000,3.7,11.86,14.10
59.4910075,25.1709494,1044000,5.3,11.19,11.40
59.4911987,25.1711024,1046000,5.7,11.50,22.10
59.491544,25.1717274,1049000,5.8,13.47,49.70
59.4916594,25.1721633,1051000,5.7,13.92,62.50
59.4918255,25.1725524,1053000,2.9,14.39,49.90
59.4920527,25.1727209,1055000,3.2,13.53,20.60
59.492246,25.1727595,1057000,5.3,10.83,5.80
59.4924362,25.1728347,1059000,4.6,10.81,11.30
59.4926537,25.1730056,1061000,5.1,13.06,21.70
59.4928491,25.173228,1063000,7.9,12.58,30.00
59.4930343,25.1734675,1065000,8.2,12.33,33.30
59.4932206,25.1736926,1067000,8.3,12.17,31.50
59.4934065,25.1738642,1069000,9.6,11.44,25.10
59.4935791,25.1739872,1071000,10.2,10.22,19.90
59.4937619,25.1741024,1073000,9,10.69,17.70
59.4939418,25.1741524,1075000,7.1,10.11,8.00
59.4941337,25.1741724,1077000,5.9,10.69,3.00
59.4943293,25.1742539,1079000,5.2,11.14,11.90
59.4945255,25.1743692,1081000,4.6,11.42,16.60
59.494735,25.1745058,1083000,5.8,12.31,18.30
59.4949311,25.1746695,1085000,9.1,11.86,23.00
59.4951128,25.1748452,1087000,11.7,11.28,26.10
59.4952997,25.1750089,1089000,12.1,11.39,24.00
59.4954963,25.1751668,1091000,13.1,11.83,22.20
59.4956946,25.1753168,1093000,14.8,11.83,21.00
59.495895,25.1754763,1095000,15.9,12.06,22.00
59.4960968,25.1756133,1097000,16.9,11.89,19.00
59.4962982,25.175746,1099000,18.6,11.83,18.50
59.496485,25.1758766,1101000,24.4,11.06,19.50
59.4966848,25.176039,1103000,29.1,12.06,22.40
59.4968718,25.176222,1105000,36.3,11.64,26.40
59.4970487,25.1763572,1107000,43.4,10.58,21.20
59.4972292,25.1764571,1109000,49.2,10.44,15.70
59.4974146,25.1765577,1111000,53.9,10.72,15.40
59.4976027,25.1766194,1113000,59.3,10.61,9.50
