latitude(deg),longitude(deg),time(ms),elevation(m),velocity(m/s),bearing(deg)
58.965378,23.220745,863000,128.18,15.40932851,158.8402199
58.96458,23.220983,869000,127.002,14.96694974,171.2583297
58.964321,23.220958,871000,125.071,14.42162524,182.8490092
58.964062,23.220897,873000,121.699,14.50960272,186.9234739
58.963932,23.220858,874000,119.819,14.63135246,188.7924514
58.963585,23.220595,877000,122.271,13.81255669,201.3442358
58.963357,23.220406,879000,121.31,13.78932162,203.1415752
58.963237,23.22033,880000,122.658,14.04071637,198.0838849
58.962867,23.219775,884000,118.56,13.00632382,217.7181055
58.962781,23.219624,885000,118.845,12.90289595,222.1542103
58.962696,23.219477,886000,119.01,12.66686229,221.7227096
58.962406,23.218579,891000,117.331,12.15323166,237.9398185
58.962355,23.218396,892000,118.1,11.92968594,241.6083139
58.962287,23.217602,896000,116.314,11.53963357,260.5695155
58.962498,23.216467,902000,116.198,11.53200245,289.8275787
58.962931,23.215567,908000,115.92,11.76551164,313.0188224
58.963332,23.214915,913000,115.505,11.6401874,320.0266656
58.96382,23.213982,919000,114.032,12.70262435,315.4119813
58.964043,23.213319,923000,112.191,11.34887129,303.1197091
58.964253,23.212316,928000,110.122,12.41584342,292.1022286
58.964317,23.211327,933000,112.288,11.43187369,277.1544669
58.964328,23.210751,936000,110.714,11.01781214,272.1215621
58.964378,23.210147,939000,110.784,11.6933485,279.1219622
58.964342,23.208985,945000,108.079,11.1258576,266.5616855
58.964254,23.208193,949000,106.076,11.6150223,257.8385142
58.964243,23.20705,955000,102.063,10.92617032,268.9311181
58.964251,23.206855,956000,102.013,11.21766791,274.5496901
58.96424,23.206464,958000,100.37,11.22767244,266.8768365
58.964222,23.206273,959000,100.304,11.13442006,259.6414279
58.964176,23.20528,964000,95.039,11.43465859,264.866188
58.964161,23.205081,965000,95.525,11.53304301,261.6823746
58.964113,23.203375,974000,95.022,10.88631734,266.8770775
58.964577,23.202674,980000,91.584,10.90290281,322.0848187
58.964688,23.202663,981000,93.765,12.36221809,357.0751786
58.964905,23.202678,983000,94.037,12.07570993,2.041042976
58.965222,23.202601,986000,90.76,11.84470813,352.8619955
58.965332,23.202568,987000,91.389,12.38036442,351.2079008
58.965867,23.202371,992000,93.099,12.11376415,349.2510205
58.966442,23.201938,998000,92.301,11.43427998,338.7826143
58.966927,23.20139,1004000,94.618,10.4049097,329.7793072
58.967762,23.199925,1016000,94.299,10.43568512,317.8717056
58.968677,23.198699,1028000,94.832,10.30750655,325.366459
58.969854,23.196715,1045000,95.848,10.20190785,319.0120219
58.970841,23.194798,1060000,99.087,10.35636704,314.9666424
58.970965,23.194531,1062000,99.587,10.30245688,312.017618
58.971098,23.193665,1067000,98.895,10.36161667,286.5912836
58.971074,23.193277,1069000,99.956,11.2025648,263.1574804
58.971034,23.192702,1072000,100.823,11.08861883,262.3143503
58.970576,23.190835,1082000,104.873,11.85465908,244.5511236
58.970153,23.190069,1087000,106.12,12.87234121,223.0296451
58.969611,23.189507,1092000,107.665,13.67119988,208.1252035
58.968862,23.189136,1098000,109.745,14.3302308,194.3240138
58.9682,23.188988,1103000,113.021,14.82383494,186.5743793
58.967014,23.18871,1112000,109.413,14.76377358,186.8902875
58.966881,23.18867,1113000,109.196,14.96984661,188.8133999
58.966157,23.188215,1119000,110.086,14.10814882,197.952103
